,ast,blk,fg3_pct,fg_pct,ft_pct,g,losses,orb,pf,pts,school_name,stl,tov,trb,win_loss_pct,wins
0,408,83,.376,.464,.663,29,16,222,631,2009,Abilene Christian,210,412,904,.448,13
1,494,57,.363,.436,.717,33,21,304,594,2411,Air Force,197,390,1149,.364,12
2,517,118,.372,.466,.683,36,9,357,653,2772,Akron,198,422,1246,.750,27
3,326,50,.280,.405,.669,29,27,299,526,1794,Alabama A&M,100,384,914,.069,2
4,503,160,.348,.462,.736,33,16,321,527,2369,Alabama-Birmingham,157,444,1188,.515,17
5,300,98,.297,.392,.637,31,23,427,629,2042,Alabama State,150,488,1188,.258,8
6,390,141,.317,.424,.653,34,15,418,664,2330,Alabama,200,474,1327,.559,19
7,444,60,.372,.467,.757,35,14,379,617,2496,Albany (NY),178,416,1257,.600,21
8,425,115,.332,.429,.652,32,14,387,610,2221,Alcorn State,209,452,1243,.563,18
9,339,73,.318,.449,.618,30,22,204,548,1845,American,209,396,868,.267,8
10,414,91,.338,.421,.681,30,21,339,641,2208,Appalachian State,167,414,1126,.300,9
11,430,106,.366,.434,.749,33,18,304,556,2593,Arizona State,194,344,1075,.455,15
12,501,119,.390,.477,.765,37,5,380,625,2833,Arizona NCAA,201,413,1358,.865,32
13,379,120,.346,.443,.741,32,17,305,591,2188,Little Rock,183,412,1058,.469,15
14,334,93,.335,.403,.652,32,25,335,718,1977,Arkansas-Pine Bluff,279,578,1013,.219,7
15,397,83,.380,.461,.638,32,12,352,652,2346,Arkansas State,172,414,1169,.625,20
16,497,170,.365,.461,.761,36,10,401,739,2855,Arkansas NCAA,278,428,1298,.722,26
17,520,61,.353,.442,.655,32,19,317,620,2324,Army,178,483,1213,.406,13
18,416,162,.366,.437,.672,32,14,369,668,2573,Auburn,234,434,1171,.563,18
19,324,73,.355,.469,.708,30,19,245,547,2331,Austin Peay,171,373,913,.367,11
20,529,118,.379,.461,.718,34,13,335,658,2677,Ball State,203,496,1281,.618,21
21,544,166,.359,.471,.723,35,8,451,617,2550,Baylor NCAA,180,469,1329,.771,27
22,481,80,.342,.469,.768,30,7,254,531,2302,Belmont,131,380,1057,.767,23
23,448,96,.320,.415,.662,32,22,397,644,2275,Bethune-Cookman,245,413,1135,.313,10
24,410,78,.362,.437,.705,32,20,251,545,2175,Binghamton,167,397,1055,.375,12
25,387,77,.348,.450,.712,32,12,309,662,2404,Boise State,158,409,1139,.625,20
26,473,87,.374,.448,.680,32,23,292,597,2320,Boston College,179,467,1119,.281,9
27,449,81,.354,.443,.696,32,14,311,610,2339,Boston University,265,444,1141,.563,18
28,390,87,.342,.425,.667,32,19,353,623,2355,Bowling Green State,221,408,1153,.406,13
29,372,118,.356,.425,.673,33,20,297,672,2163,Bradley,203,499,1156,.394,13
30,534,156,.344,.456,.733,34,12,363,657,2741,Brigham Young,224,469,1418,.647,22
31,399,56,.367,.443,.759,30,17,275,597,2275,Brown,228,430,933,.433,13
32,460,69,.338,.438,.720,32,20,345,680,2373,Bryant,218,428,1148,.375,12
33,510,134,.379,.480,.681,35,9,302,655,2669,Bucknell NCAA,252,466,1203,.743,26
34,459,127,.330,.451,.692,32,15,385,735,2486,Buffalo,181,453,1295,.531,17
35,453,96,.366,.477,.741,34,9,287,640,2595,Butler NCAA,206,346,1091,.735,25
36,322,113,.340,.403,.697,31,20,300,574,2082,Cal Poly,162,333,1003,.355,11
